Category: All categories

Week,bitcoin: (Worldwide)
2016-12-04,5
2016-12-11,5
2016-12-18,7
2016-12-25,8
2017-01-01,12
2017-01-08,9
2017-01-15,7
2017-01-22,7
2017-01-29,7
2017-02-05,8
2017-02-12,7
2017-02-19,8
2017-02-26,10
2017-03-05,11
2017-03-12,9
2017-03-19,9
2017-03-26,8
2017-04-02,8
2017-04-09,8
2017-04-16,8
2017-04-23,8
2017-04-30,12
2017-05-07,16
2017-05-14,19
2017-05-21,32
2017-05-28,20
2017-06-04,20
2017-06-11,22
2017-06-18,18
2017-06-25,19
2017-07-02,15
2017-07-09,17
2017-07-16,20
2017-07-23,18
2017-07-30,25
2017-08-06,24
2017-08-13,33
2017-08-20,27
2017-08-27,28
2017-09-03,30
2017-09-10,36
2017-09-17,26
2017-09-24,21
2017-10-01,20
2017-10-08,31
2017-10-15,33
2017-10-22,35
2017-10-29,46
2017-11-05,49
2017-11-12,52
2017-11-19,46
2017-11-26,100
